PUB_AREA
pk_area,name
1001ZZ1LCP000000ZSM1,合同基本信息_查询区
1001ZZ1LCP000000ZSM2,合同基本信息
1001ZZ1LCP000000ZSM3,合同基本信息_主表单
1001ZZ1LCP000000ZSM4,操作信息
1001ZZ1LCP000000ZSM5,相对方信息
1001ZZ1LCP000000ZSM6,相对方信息
1001ZZ1LCP000000ZSM7,相对方信息
1001ZZ1LCP000000ZSM8,项目信息
1001ZZ1LCP000000ZSM9,项目信息
1001ZZ1LCP000000ZSMA,项目信息
1001ZZ1LCP000000ZSMB,预算信息
1001ZZ1LCP000000ZSMC,预算信息
1001ZZ1LCP000000ZSMD,预算信息
1001ZZ1LCP000000ZSME,计划收款信息
1001ZZ1LCP000000ZSMF,计划收款信息
1001ZZ1LCP000000ZSMG,计划收款信息
1001ZZ1LCP000000ZSMH,实际收款信息
1001ZZ1LCP000000ZSMI,实际收款信息
1001ZZ1LCP000000ZSMJ,实际收款信息
1001ZZ1LCP000000ZSMK,计划付款信息
1001ZZ1LCP000000ZSML,计划付款信息
1001ZZ1LCP000000ZSMM,计划付款信息
1001ZZ1LCP000000ZSMN,实际付款信息
1001ZZ1LCP000000ZSMO,实际付款信息
1001ZZ1LCP000000ZSMP,实际付款信息
1001ZZ1LCP000000ZSMQ,合同文本信息
1001ZZ1LCP000000ZSMR,合同文本信息
1001ZZ1LCP000000ZSMS,合同文本信息
