PUB_FORM_PROPERTY
pk_form_property,label
1001ZZ1LCP000000ZSOZ,集团
1001ZZ1LCP000000ZSP0,组织
1001ZZ1LCP000000ZSP1,主键
1001ZZ1LCP000000ZSP2,集团合同编码
1001ZZ1LCP000000ZSP3,合同编码
1001ZZ1LCP000000ZSP4,合同名称
1001ZZ1LCP000000ZSP5,所属单位编码
1001ZZ1LCP000000ZSP6,所属单位名称
1001ZZ1LCP000000ZSP7,所属二级单位编码
1001ZZ1LCP000000ZSP8,所属二级单位名称
1001ZZ1LCP000000ZSP9,签署人姓名
1001ZZ1LCP000000ZSPA,收支方向
1001ZZ1LCP000000ZSPB,合同二级类别
1001ZZ1LCP000000ZSPC,合同范本属性
1001ZZ1LCP000000ZSPD,范本编号
1001ZZ1LCP000000ZSPE,合同实际类别
1001ZZ1LCP000000ZSPF,合山级别
1001ZZ1LCP000000ZSPG,合同所属产业板块
1001ZZ1LCP000000ZSPH,所属产业板块下领域
1001ZZ1LCP000000ZSPI,军品任务属性
1001ZZ1LCP000000ZSPJ,合同产品编号
1001ZZ1LCP000000ZSPK,合同产品名称
1001ZZ1LCP000000ZSPL,框架协议
1001ZZ1LCP000000ZSPM,关联框架协议编号
1001ZZ1LCP000000ZSPN,是否敞口合同
1001ZZ1LCP000000ZSPO,是否变更合同
1001ZZ1LCP000000ZSPP,原合同编号
1001ZZ1LCP000000ZSPQ,合同金额
1001ZZ1LCP000000ZSPR,合同币种
1001ZZ1LCP000000ZSPS,汇率
1001ZZ1LCP000000ZSPT,合同标的内容说明
1001ZZ1LCP000000ZSPU,价格确定依据
1001ZZ1LCP000000ZSPV,合同密级
1001ZZ1LCP000000ZSPW,合同状态
1001ZZ1LCP000000ZSPX,合同签订日期
1001ZZ1LCP000000ZSPY,合同生效日期
1001ZZ1LCP000000ZSPZ,合同结束日期
1001ZZ1LCP000000ZSQ0,合同提交审批日期
1001ZZ1LCP000000ZSQ1,合同审批通过日期
1001ZZ1LCP000000ZSQ2,合同办结时间
1001ZZ1LCP000000ZSQ3,数据有效性
1001ZZ1LCP000000ZSQ4,时间戳
1001ZZ1LCP000000ZSQ5,自定义项1
1001ZZ1LCP000000ZSQ6,自定义项2
1001ZZ1LCP000000ZSQ7,自定义项3
1001ZZ1LCP000000ZSQ8,自定义项4
1001ZZ1LCP000000ZSQ9,自定义项5
1001ZZ1LCP000000ZSQA,自定义项6
1001ZZ1LCP000000ZSQB,自定义项7
1001ZZ1LCP000000ZSQC,自定义项8
1001ZZ1LCP000000ZSQD,自定义项9
1001ZZ1LCP000000ZSQE,自定义项10
1001ZZ1LCP000000ZSQF,自定义项11
1001ZZ1LCP000000ZSQG,自定义项12
1001ZZ1LCP000000ZSQH,自定义项13
1001ZZ1LCP000000ZSQI,自定义项14
1001ZZ1LCP000000ZSQJ,自定义项15
1001ZZ1LCP000000ZSQK,自定义项16
1001ZZ1LCP000000ZSQL,自定义项17
1001ZZ1LCP000000ZSQM,自定义项18
1001ZZ1LCP000000ZSQN,自定义项19
1001ZZ1LCP000000ZSQO,自定义项20
1001ZZ1LCP000000ZSQP,自定义项21
1001ZZ1LCP000000ZSQQ,自定义项22
1001ZZ1LCP000000ZSQR,自定义项23
1001ZZ1LCP000000ZSQS,自定义项24
1001ZZ1LCP000000ZSQT,自定义项25
1001ZZ1LCP000000ZSQU,自定义项26
1001ZZ1LCP000000ZSQV,自定义项27
1001ZZ1LCP000000ZSQW,自定义项28
1001ZZ1LCP000000ZSQX,自定义项29
1001ZZ1LCP000000ZSQY,自定义项30
1001ZZ1LCP000000ZSQZ,制单时间
1001ZZ1LCP000000ZSR0,最后修改时间
1001ZZ1LCP000000ZSR1,组织多版本
1001ZZ1LCP000000ZSR2,创建人
1001ZZ1LCP000000ZSR3,创建时间
1001ZZ1LCP000000ZSR4,最后修改人
1001ZZ1LCP000000ZSR5,修改时间
1001ZZ1LCP000000ZSR6,集团
1001ZZ1LCP000000ZSR7,组织
1001ZZ1LCP000000ZSR8,主键
1001ZZ1LCP000000ZSR9,集团合同编码
1001ZZ1LCP000000ZSRA,合同编码
1001ZZ1LCP000000ZSRB,合同名称
1001ZZ1LCP000000ZSRC,所属单位编码
1001ZZ1LCP000000ZSRD,所属单位名称
1001ZZ1LCP000000ZSRE,所属二级单位编码
1001ZZ1LCP000000ZSRF,所属二级单位名称
1001ZZ1LCP000000ZSRG,签署人姓名
1001ZZ1LCP000000ZSRH,收支方向
1001ZZ1LCP000000ZSRI,合同二级类别
1001ZZ1LCP000000ZSRJ,合同范本属性
1001ZZ1LCP000000ZSRK,范本编号
1001ZZ1LCP000000ZSRL,合同实际类别
1001ZZ1LCP000000ZSRM,合山级别
1001ZZ1LCP000000ZSRN,合同所属产业板块
1001ZZ1LCP000000ZSRO,所属产业板块下领域
1001ZZ1LCP000000ZSRP,军品任务属性
1001ZZ1LCP000000ZSRQ,合同产品编号
1001ZZ1LCP000000ZSRR,合同产品名称
1001ZZ1LCP000000ZSRS,框架协议
1001ZZ1LCP000000ZSRT,关联框架协议编号
1001ZZ1LCP000000ZSRU,是否敞口合同
1001ZZ1LCP000000ZSRV,是否变更合同
1001ZZ1LCP000000ZSRW,原合同编号
1001ZZ1LCP000000ZSRX,合同金额
1001ZZ1LCP000000ZSRY,合同币种
1001ZZ1LCP000000ZSRZ,汇率
1001ZZ1LCP000000ZSS0,合同标的内容说明
1001ZZ1LCP000000ZSS1,价格确定依据
1001ZZ1LCP000000ZSS2,合同密级
1001ZZ1LCP000000ZSS3,合同状态
1001ZZ1LCP000000ZSS4,合同签订日期
1001ZZ1LCP000000ZSS5,合同生效日期
1001ZZ1LCP000000ZSS6,合同结束日期
1001ZZ1LCP000000ZSS7,合同提交审批日期
1001ZZ1LCP000000ZSS8,合同审批通过日期
1001ZZ1LCP000000ZSS9,合同办结时间
