PUB_QUERY_PROPERTY
pk_query_property,label
1001ZZ1LCP000000ZSMT,组织
1001ZZ1LCP000000ZSMU,集团合同编码
1001ZZ1LCP000000ZSMV,集团
1001ZZ1LCP000000ZSMW,组织多版本
1001ZZ1LCP000000ZSMX,制单时间
1001ZZ1LCP000000ZSMY,最后修改时间
1001ZZ1LCP000000ZSMZ,创建人
1001ZZ1LCP000000ZSN0,创建时间
1001ZZ1LCP000000ZSN1,最后修改人
1001ZZ1LCP000000ZSN2,修改时间
1001ZZ1LCP000000ZSN3,合同编码
1001ZZ1LCP000000ZSN4,合同名称
1001ZZ1LCP000000ZSN5,所属单位编码
1001ZZ1LCP000000ZSN6,所属单位名称
1001ZZ1LCP000000ZSN7,所属二级单位编码
1001ZZ1LCP000000ZSN8,所属二级单位名称
1001ZZ1LCP000000ZSN9,签署人姓名
1001ZZ1LCP000000ZSNA,收支方向
1001ZZ1LCP000000ZSNB,合同二级类别
1001ZZ1LCP000000ZSNC,合同范本属性
1001ZZ1LCP000000ZSND,范本编号
1001ZZ1LCP000000ZSNE,合同实际类别
1001ZZ1LCP000000ZSNF,合山级别
1001ZZ1LCP000000ZSNG,合同所属产业板块
1001ZZ1LCP000000ZSNH,所属产业板块下领域
1001ZZ1LCP000000ZSNI,军品任务属性
1001ZZ1LCP000000ZSNJ,合同产品编号
1001ZZ1LCP000000ZSNK,合同产品名称
1001ZZ1LCP000000ZSNL,框架协议
1001ZZ1LCP000000ZSNM,关联框架协议编号
1001ZZ1LCP000000ZSNN,是否敞口合同
1001ZZ1LCP000000ZSNO,是否变更合同
1001ZZ1LCP000000ZSNP,原合同编号
1001ZZ1LCP000000ZSNQ,合同金额
1001ZZ1LCP000000ZSNR,合同币种
1001ZZ1LCP000000ZSNS,汇率
1001ZZ1LCP000000ZSNT,合同标的内容说明
1001ZZ1LCP000000ZSNU,价格确定依据
1001ZZ1LCP000000ZSNV,合同密级
1001ZZ1LCP000000ZSNW,合同状态
1001ZZ1LCP000000ZSNX,合同签订日期
1001ZZ1LCP000000ZSNY,合同生效日期
1001ZZ1LCP000000ZSNZ,合同结束日期
1001ZZ1LCP000000ZSO0,合同提交审批日期
1001ZZ1LCP000000ZSO1,合同审批通过日期
1001ZZ1LCP000000ZSO2,合同办结时间
1001ZZ1LCP000000ZSO3,数据有效性
1001ZZ1LCP000000ZSO4,时间戳
1001ZZ1LCP000000ZSO5,自定义项1
1001ZZ1LCP000000ZSO6,自定义项2
1001ZZ1LCP000000ZSO7,自定义项3
1001ZZ1LCP000000ZSO8,自定义项4
1001ZZ1LCP000000ZSO9,自定义项5
1001ZZ1LCP000000ZSOA,自定义项6
1001ZZ1LCP000000ZSOB,自定义项7
1001ZZ1LCP000000ZSOC,自定义项8
1001ZZ1LCP000000ZSOD,自定义项9
1001ZZ1LCP000000ZSOE,自定义项10
1001ZZ1LCP000000ZSOF,自定义项11
1001ZZ1LCP000000ZSOG,自定义项12
1001ZZ1LCP000000ZSOH,自定义项13
1001ZZ1LCP000000ZSOI,自定义项14
1001ZZ1LCP000000ZSOJ,自定义项15
1001ZZ1LCP000000ZSOK,自定义项16
1001ZZ1LCP000000ZSOL,自定义项17
1001ZZ1LCP000000ZSOM,自定义项18
1001ZZ1LCP000000ZSON,自定义项19
1001ZZ1LCP000000ZSOO,自定义项20
1001ZZ1LCP000000ZSOP,自定义项21
1001ZZ1LCP000000ZSOQ,自定义项22
1001ZZ1LCP000000ZSOR,自定义项23
1001ZZ1LCP000000ZSOS,自定义项24
1001ZZ1LCP000000ZSOT,自定义项25
1001ZZ1LCP000000ZSOU,自定义项26
1001ZZ1LCP000000ZSOV,自定义项27
1001ZZ1LCP000000ZSOW,自定义项28
1001ZZ1LCP000000ZSOX,自定义项29
1001ZZ1LCP000000ZSOY,自定义项30
