PUB_AREA
pk_area,name
1001A11LCP000002GR2H,收入类合同基本信息_主表单
1001A11LCP000002GR2I,操作信息
1001A11LCP000002GR5B,相对方信息
1001A11LCP000002GR5C,相对方信息
1001A11LCP000002GR5D,相对方信息
1001A11LCP000002GR5E,项目信息
1001A11LCP000002GR5F,项目信息
1001A11LCP000002GR5G,项目信息
1001A11LCP000002GR5H,预算信息
1001A11LCP000002GR5I,预算信息
1001A11LCP000002GR5J,预算信息
1001A11LCP000002GR5K,计划收款信息
1001A11LCP000002GR5L,计划收款信息
1001A11LCP000002GR5M,计划收款信息
1001A11LCP000002GR5N,实际收款信息
1001A11LCP000002GR5O,实际收款信息
1001A11LCP000002GR5P,实际收款信息
1001A11LCP000002GR5Q,计划付款信息
1001A11LCP000002GR5R,计划付款信息
1001A11LCP000002GR5S,计划付款信息
1001A11LCP000002GR5T,实际付款信息
1001A11LCP000002GR5U,实际付款信息
1001A11LCP000002GR5V,实际付款信息
1001A11LCP000002GR5W,合同文本信息
1001A11LCP000002GR5X,合同文本信息
1001A11LCP000002GR5Y,合同文本信息
