PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP000002GR2J,集团
1001A11LCP000002GR2K,组织
1001A11LCP000002GR2L,合同编号
1001A11LCP000002GR2M,合同所属产业板块
1001A11LCP000002GR2N,所属产业板块下领域
1001A11LCP000002GR2O,军品任务属性
1001A11LCP000002GR2P,合同产品
1001A11LCP000002GR2Q,合同产品编号
1001A11LCP000002GR2R,合同产品名称
1001A11LCP000002GR2S,框架协议
1001A11LCP000002GR2T,关联框架协议编号
1001A11LCP000002GR2U,是否敞口合同
1001A11LCP000002GR2V,是否变更合同
1001A11LCP000002GR2W,原合同编号
1001A11LCP000002GR2X,合同金额
1001A11LCP000002GR2Y,合同币种
1001A11LCP000002GR2Z,汇率
1001A11LCP000002GR30,合同标的内容说明
1001A11LCP000002GR31,价格确定依据
1001A11LCP000002GR32,合同密级
1001A11LCP000002GR33,合同状态
1001A11LCP000002GR34,合同签订日期
1001A11LCP000002GR35,合同签订日期（传）
1001A11LCP000002GR36,合同生效日期
1001A11LCP000002GR37,合同生效日期（传）
1001A11LCP000002GR38,合同结束日期
1001A11LCP000002GR39,合同结束日期（传）
1001A11LCP000002GR3A,合同提交审批日期
1001A11LCP000002GR3B,合同提交审批日期（传）
1001A11LCP000002GR3C,合同审批通过日期
1001A11LCP000002GR3D,合同审批通过日期（传）
1001A11LCP000002GR3E,合同办结时间
1001A11LCP000002GR3F,合同办结时间（传）
1001A11LCP000002GR3G,数据有效性
1001A11LCP000002GR3H,时间戳
1001A11LCP000002GR3I,自定义项1
1001A11LCP000002GR3J,自定义项2
1001A11LCP000002GR3K,自定义项3
1001A11LCP000002GR3L,自定义项4
1001A11LCP000002GR3M,自定义项5
1001A11LCP000002GR3N,自定义项6
1001A11LCP000002GR3O,自定义项7
1001A11LCP000002GR3P,自定义项8
1001A11LCP000002GR3Q,自定义项9
1001A11LCP000002GR3R,自定义项10
1001A11LCP000002GR3S,自定义项11
1001A11LCP000002GR3T,自定义项12
1001A11LCP000002GR3U,自定义项13
1001A11LCP000002GR3V,自定义项14
1001A11LCP000002GR3W,自定义项15
1001A11LCP000002GR3X,自定义项16
1001A11LCP000002GR3Y,自定义项17
1001A11LCP000002GR3Z,自定义项18
1001A11LCP000002GR40,自定义项19
1001A11LCP000002GR41,自定义项20
1001A11LCP000002GR42,自定义项21
1001A11LCP000002GR43,自定义项22
1001A11LCP000002GR44,自定义项23
1001A11LCP000002GR45,自定义项24
1001A11LCP000002GR46,自定义项25
1001A11LCP000002GR47,自定义项26
1001A11LCP000002GR48,自定义项27
1001A11LCP000002GR49,自定义项28
1001A11LCP000002GR4A,自定义项29
1001A11LCP000002GR4B,自定义项30
1001A11LCP000002GR4C,合同实际类别编码
1001A11LCP000002GR4D,合同产品id
1001A11LCP000002GR4E,集团合同编码
1001A11LCP000002GR4F,合同名称
1001A11LCP000002GR4G,所属单位编码
1001A11LCP000002GR4H,所属单位名称
1001A11LCP000002GR4I,修订枚举
1001A11LCP000002GR4J,所属二级单位编码
1001A11LCP000002GR4K,所属二级单位名称
1001A11LCP000002GR4L,签署人id
1001A11LCP000002GR4M,签署人姓名
1001A11LCP000002GR4N,收支方向
1001A11LCP000002GR4O,合同二级类别
1001A11LCP000002GR4P,合同范本属性
1001A11LCP000002GR4Q,范本编号
1001A11LCP000002GR4R,合同实际类别
1001A11LCP000002GR4S,合同级别
1001A11LCP000002GR4T,单据类型
1001A11LCP000002GR4U,交易类型pk
1001A11LCP000002GR4V,交易类型
1001A11LCP000002GR4W,业务类型
1001A11LCP000002GR4X,审批状态
1001A11LCP000002GR4Y,审批人
1001A11LCP000002GR4Z,审批时间
1001A11LCP000002GR50,审批批语
1001A11LCP000002GR51,主键
1001A11LCP000002GR52,制单人
1001A11LCP000002GR53,单据版本pk
1001A11LCP000002GR54,制单时间
1001A11LCP000002GR55,最后修改时间
1001A11LCP000002GR56,组织多版本
1001A11LCP000002GR57,创建人
1001A11LCP000002GR58,创建时间
1001A11LCP000002GR59,最后修改人
1001A11LCP000002GR5A,修改时间
1001A11LCP000002GR5Z,行号
1001A11LCP000002GR60,主键
1001A11LCP000002GR61,所属单位编码
1001A11LCP000002GR62,客户id
