PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP000002G02S,组织
1001A11LCP000002G02T,合同编号
1001A11LCP000002G02U,制单人
1001A11LCP000002G02V,审批状态
1001A11LCP000002G02W,交易类型pk
1001A11LCP000002G02X,合同所属产业板块
1001A11LCP000002G02Y,所属产业板块下领域
1001A11LCP000002G02Z,军品任务属性
1001A11LCP000002G030,合同产品
1001A11LCP000002G031,合同产品编号
1001A11LCP000002G032,合同产品名称
1001A11LCP000002G033,框架协议
1001A11LCP000002G034,关联框架协议编号
1001A11LCP000002G035,是否敞口合同
1001A11LCP000002G036,是否变更合同
1001A11LCP000002G037,原合同编号
1001A11LCP000002G038,合同金额
1001A11LCP000002G039,合同币种
1001A11LCP000002G03A,汇率
1001A11LCP000002G03B,合同标的内容说明
1001A11LCP000002G03C,价格确定依据
1001A11LCP000002G03D,合同密级
1001A11LCP000002G03E,合同状态
1001A11LCP000002G03F,合同签订日期
1001A11LCP000002G03G,合同签订日期（传）
1001A11LCP000002G03H,合同生效日期
1001A11LCP000002G03I,合同生效日期（传）
1001A11LCP000002G03J,合同结束日期
1001A11LCP000002G03K,合同结束日期（传）
1001A11LCP000002G03L,合同提交审批日期
1001A11LCP000002G03M,合同提交审批日期（传）
1001A11LCP000002G03N,合同审批通过日期
1001A11LCP000002G03O,合同审批通过日期（传）
1001A11LCP000002G03P,合同办结时间
1001A11LCP000002G03Q,合同办结时间（传）
1001A11LCP000002G03R,数据有效性
1001A11LCP000002G03S,时间戳
1001A11LCP000002G03T,自定义项1
1001A11LCP000002G03U,自定义项2
1001A11LCP000002G03V,自定义项3
1001A11LCP000002G03W,自定义项4
1001A11LCP000002G03X,自定义项5
1001A11LCP000002G03Y,自定义项6
1001A11LCP000002G03Z,自定义项7
1001A11LCP000002G040,自定义项8
1001A11LCP000002G041,自定义项9
1001A11LCP000002G042,自定义项10
1001A11LCP000002G043,自定义项11
1001A11LCP000002G044,自定义项12
1001A11LCP000002G045,自定义项13
1001A11LCP000002G046,自定义项14
1001A11LCP000002G047,自定义项15
1001A11LCP000002G048,自定义项16
1001A11LCP000002G049,自定义项17
1001A11LCP000002G04A,自定义项18
1001A11LCP000002G04B,自定义项19
1001A11LCP000002G04C,自定义项20
1001A11LCP000002G04D,自定义项21
1001A11LCP000002G04E,自定义项22
1001A11LCP000002G04F,自定义项23
1001A11LCP000002G04G,自定义项24
1001A11LCP000002G04H,自定义项25
1001A11LCP000002G04I,自定义项26
1001A11LCP000002G04J,自定义项27
1001A11LCP000002G04K,自定义项28
1001A11LCP000002G04L,自定义项29
1001A11LCP000002G04M,自定义项30
1001A11LCP000002G04N,单据版本pk
1001A11LCP000002G04O,单据类型
1001A11LCP000002G04P,交易类型
1001A11LCP000002G04Q,审批批语
1001A11LCP000002G04R,审批人
1001A11LCP000002G04S,审批时间
1001A11LCP000002G04T,修订枚举
1001A11LCP000002G04U,业务类型
1001A11LCP000002G04V,合同实际类别编码
1001A11LCP000002G04W,合同产品id
1001A11LCP000002G04X,集团
1001A11LCP000002G04Y,组织多版本
1001A11LCP000002G04Z,制单时间
1001A11LCP000002G050,最后修改时间
1001A11LCP000002G051,创建人
1001A11LCP000002G052,创建时间
1001A11LCP000002G053,最后修改人
1001A11LCP000002G054,修改时间
1001A11LCP000002G055,集团合同编码
1001A11LCP000002G056,合同名称
1001A11LCP000002G057,所属单位编码
1001A11LCP000002G058,所属单位名称
1001A11LCP000002G059,所属二级单位编码
1001A11LCP000002G05A,所属二级单位名称
1001A11LCP000002G05B,签署人id
1001A11LCP000002G05C,签署人姓名
1001A11LCP000002G05D,收支方向
1001A11LCP000002G05E,合同二级类别
1001A11LCP000002G05F,合同范本属性
1001A11LCP000002G05G,范本编号
1001A11LCP000002G05H,合同实际类别
1001A11LCP000002G05I,合同级别
