PUB_AREA
pk_area,name
1001AA1LCP000001OVD4,无收无支类合同基本信息_查询区
1001AA1LCP000001OVD5,无收无支类合同基本信息
1001AA1LCP000001OVD6,无收无支类合同基本信息_主表单
1001AA1LCP000001OVD7,操作信息
1001AA1LCP000001OVD8,相对方信息
1001AA1LCP000001OVD9,相对方信息
1001AA1LCP000001OVDA,相对方信息
1001AA1LCP000001OVDB,项目信息
1001AA1LCP000001OVDC,项目信息
1001AA1LCP000001OVDD,项目信息
1001AA1LCP000001OVDE,预算信息
1001AA1LCP000001OVDF,预算信息
1001AA1LCP000001OVDG,预算信息
1001AA1LCP000001OVDH,计划收款信息
1001AA1LCP000001OVDI,计划收款信息
1001AA1LCP000001OVDJ,计划收款信息
1001AA1LCP000001OVDK,实际收款信息
1001AA1LCP000001OVDL,实际收款信息
1001AA1LCP000001OVDM,实际收款信息
1001AA1LCP000001OVDN,计划付款信息
1001AA1LCP000001OVDO,计划付款信息
1001AA1LCP000001OVDP,计划付款信息
1001AA1LCP000001OVDQ,实际付款信息
1001AA1LCP000001OVDR,实际付款信息
1001AA1LCP000001OVDS,实际付款信息
1001AA1LCP000001OVDT,合同文本信息
1001AA1LCP000001OVDU,合同文本信息
1001AA1LCP000001OVDV,合同文本信息
