PUB_FORM_PROPERTY
pk_form_property,label
1001AA1LCP000001OVG2,集团
1001AA1LCP000001OVG3,组织
1001AA1LCP000001OVG4,主键
1001AA1LCP000001OVG5,集团合同编码
1001AA1LCP000001OVG6,合同编码
1001AA1LCP000001OVG7,合同名称
1001AA1LCP000001OVG8,所属单位编码
1001AA1LCP000001OVG9,所属单位名称
1001AA1LCP000001OVGA,所属二级单位编码
1001AA1LCP000001OVGB,所属二级单位名称
1001AA1LCP000001OVGC,签署人姓名
1001AA1LCP000001OVGD,收支方向
1001AA1LCP000001OVGE,合同二级类别
1001AA1LCP000001OVGF,合同范本属性
1001AA1LCP000001OVGG,范本编号
1001AA1LCP000001OVGH,合同实际类别
1001AA1LCP000001OVGI,合同级别
1001AA1LCP000001OVGJ,合同所属产业板块
1001AA1LCP000001OVGK,所属产业板块下领域
1001AA1LCP000001OVGL,军品任务属性
1001AA1LCP000001OVGM,合同产品编号
1001AA1LCP000001OVGN,合同产品,名称
1001AA1LCP000001OVGO,框架协议
1001AA1LCP000001OVGP,关联框架协议编号
1001AA1LCP000001OVGQ,是否敞口合同
1001AA1LCP000001OVGR,是否变更合同
1001AA1LCP000001OVGS,原合同编号
1001AA1LCP000001OVGT,合同金额
1001AA1LCP000001OVGU,合同币种
1001AA1LCP000001OVGV,汇率
1001AA1LCP000001OVGW,合同标的内容说明
1001AA1LCP000001OVGX,价格确定依据
1001AA1LCP000001OVGY,合同密级
1001AA1LCP000001OVGZ,合同状态
1001AA1LCP000001OVH0,合同签订日期
1001AA1LCP000001OVH1,合同生效日期
1001AA1LCP000001OVH2,合同结束日期
1001AA1LCP000001OVH3,合同提交审批日期
1001AA1LCP000001OVH4,合同审批通过日期
1001AA1LCP000001OVH5,合同办结时间
1001AA1LCP000001OVH6,数据有效性
1001AA1LCP000001OVH7,时间戳
1001AA1LCP000001OVH8,自定义项1
1001AA1LCP000001OVH9,自定义项2
1001AA1LCP000001OVHA,自定义项3
1001AA1LCP000001OVHB,自定义项4
1001AA1LCP000001OVHC,自定义项5
1001AA1LCP000001OVHD,自定义项6
1001AA1LCP000001OVHE,自定义项7
1001AA1LCP000001OVHF,自定义项8
1001AA1LCP000001OVHG,自定义项9
1001AA1LCP000001OVHH,自定义项10
1001AA1LCP000001OVHI,自定义项11
1001AA1LCP000001OVHJ,自定义项12
1001AA1LCP000001OVHK,自定义项13
1001AA1LCP000001OVHL,自定义项14
1001AA1LCP000001OVHM,自定义项15
1001AA1LCP000001OVHN,自定义项16
1001AA1LCP000001OVHO,自定义项17
1001AA1LCP000001OVHP,自定义项18
1001AA1LCP000001OVHQ,自定义项19
1001AA1LCP000001OVHR,自定义项20
1001AA1LCP000001OVHS,自定义项21
1001AA1LCP000001OVHT,自定义项22
1001AA1LCP000001OVHU,自定义项23
1001AA1LCP000001OVHV,自定义项24
1001AA1LCP000001OVHW,自定义项25
1001AA1LCP000001OVHX,自定义项26
1001AA1LCP000001OVHY,自定义项27
1001AA1LCP000001OVHZ,自定义项28
1001AA1LCP000001OVI0,自定义项29
1001AA1LCP000001OVI1,自定义项30
1001AA1LCP000001OVI2,制单时间
1001AA1LCP000001OVI3,最后修改时间
1001AA1LCP000001OVI4,组织多版本
1001AA1LCP000001OVI5,创建人
1001AA1LCP000001OVI6,创建时间
1001AA1LCP000001OVI7,最后修改人
