PUB_QUERY_PROPERTY
pk_query_property,label
1001AA1LCP000001OVDW,组织
1001AA1LCP000001OVDX,集团合同编码
1001AA1LCP000001OVDY,集团
1001AA1LCP000001OVDZ,组织多版本
1001AA1LCP000001OVE0,制单时间
1001AA1LCP000001OVE1,最后修改时间
1001AA1LCP000001OVE2,创建人
1001AA1LCP000001OVE3,创建时间
1001AA1LCP000001OVE4,最后修改人
1001AA1LCP000001OVE5,修改时间
1001AA1LCP000001OVE6,合同编码
1001AA1LCP000001OVE7,合同名称
1001AA1LCP000001OVE8,所属单位编码
1001AA1LCP000001OVE9,所属单位名称
1001AA1LCP000001OVEA,所属二级单位编码
1001AA1LCP000001OVEB,所属二级单位名称
1001AA1LCP000001OVEC,签署人姓名
1001AA1LCP000001OVED,收支方向
1001AA1LCP000001OVEE,合同二级类别
1001AA1LCP000001OVEF,合同范本属性
1001AA1LCP000001OVEG,范本编号
1001AA1LCP000001OVEH,合同实际类别
1001AA1LCP000001OVEI,合同级别
1001AA1LCP000001OVEJ,合同所属产业板块
1001AA1LCP000001OVEK,所属产业板块下领域
1001AA1LCP000001OVEL,军品任务属性
1001AA1LCP000001OVEM,合同产品编号
1001AA1LCP000001OVEN,合同产品,名称
1001AA1LCP000001OVEO,框架协议
1001AA1LCP000001OVEP,关联框架协议编号
1001AA1LCP000001OVEQ,是否敞口合同
1001AA1LCP000001OVER,是否变更合同
1001AA1LCP000001OVES,原合同编号
1001AA1LCP000001OVET,合同金额
1001AA1LCP000001OVEU,合同币种
1001AA1LCP000001OVEV,汇率
1001AA1LCP000001OVEW,合同标的内容说明
1001AA1LCP000001OVEX,价格确定依据
1001AA1LCP000001OVEY,合同密级
1001AA1LCP000001OVEZ,合同状态
1001AA1LCP000001OVF0,合同签订日期
1001AA1LCP000001OVF1,合同生效日期
1001AA1LCP000001OVF2,合同结束日期
1001AA1LCP000001OVF3,合同提交审批日期
1001AA1LCP000001OVF4,合同审批通过日期
1001AA1LCP000001OVF5,合同办结时间
1001AA1LCP000001OVF6,数据有效性
1001AA1LCP000001OVF7,时间戳
1001AA1LCP000001OVF8,自定义项1
1001AA1LCP000001OVF9,自定义项2
1001AA1LCP000001OVFA,自定义项3
1001AA1LCP000001OVFB,自定义项4
1001AA1LCP000001OVFC,自定义项5
1001AA1LCP000001OVFD,自定义项6
1001AA1LCP000001OVFE,自定义项7
1001AA1LCP000001OVFF,自定义项8
1001AA1LCP000001OVFG,自定义项9
1001AA1LCP000001OVFH,自定义项10
1001AA1LCP000001OVFI,自定义项11
1001AA1LCP000001OVFJ,自定义项12
1001AA1LCP000001OVFK,自定义项13
1001AA1LCP000001OVFL,自定义项14
1001AA1LCP000001OVFM,自定义项15
1001AA1LCP000001OVFN,自定义项16
1001AA1LCP000001OVFO,自定义项17
1001AA1LCP000001OVFP,自定义项18
1001AA1LCP000001OVFQ,自定义项19
1001AA1LCP000001OVFR,自定义项20
1001AA1LCP000001OVFS,自定义项21
1001AA1LCP000001OVFT,自定义项22
1001AA1LCP000001OVFU,自定义项23
1001AA1LCP000001OVFV,自定义项24
1001AA1LCP000001OVFW,自定义项25
1001AA1LCP000001OVFX,自定义项26
1001AA1LCP000001OVFY,自定义项27
1001AA1LCP000001OVFZ,自定义项28
1001AA1LCP000001OVG0,自定义项29
1001AA1LCP000001OVG1,自定义项30
