PUB_AREA
pk_area,name
1001A11LCP0000022A1J,支出类合同基本信息_主表单
1001A11LCP0000022A1K,操作信息
1001A11LCP0000022A42,相对方信息
1001A11LCP0000022A43,相对方信息
1001A11LCP0000022A44,相对方信息
1001A11LCP0000022A45,项目信息
1001A11LCP0000022A46,项目信息
1001A11LCP0000022A47,项目信息
1001A11LCP0000022A48,预算信息
1001A11LCP0000022A49,预算信息
1001A11LCP0000022A4A,预算信息
1001A11LCP0000022A4B,计划收款信息
1001A11LCP0000022A4C,计划收款信息
1001A11LCP0000022A4D,计划收款信息
1001A11LCP0000022A4E,实际收款信息
1001A11LCP0000022A4F,实际收款信息
1001A11LCP0000022A4G,实际收款信息
1001A11LCP0000022A4H,计划付款信息
1001A11LCP0000022A4I,计划付款信息
1001A11LCP0000022A4J,计划付款信息
1001A11LCP0000022A4K,实际付款信息
1001A11LCP0000022A4L,实际付款信息
1001A11LCP0000022A4M,实际付款信息
1001A11LCP0000022A4N,合同文本信息
1001A11LCP0000022A4O,合同文本信息
1001A11LCP0000022A4P,合同文本信息
