PUB_FORM_PROPERTY
pk_form_property,label
1001A11LCP0000022A1L,pk_group
1001A11LCP0000022A1M,pk_org
1001A11LCP0000022A1N,code
1001A11LCP0000022A1O,合同编码
1001A11LCP0000022A1P,合同名称
1001A11LCP0000022A1Q,所属单位编码
1001A11LCP0000022A1R,所属单位名称
1001A11LCP0000022A1S,所属二级单位编码
1001A11LCP0000022A1T,所属二级单位名称
1001A11LCP0000022A1U,签署人姓名
1001A11LCP0000022A1V,收支方向
1001A11LCP0000022A1W,合同二级类别
1001A11LCP0000022A1X,合同范本属性
1001A11LCP0000022A1Y,范本编号
1001A11LCP0000022A1Z,合同实际类别
1001A11LCP0000022A20,合同级别
1001A11LCP0000022A21,合同所属产业板块
1001A11LCP0000022A22,所属产业板块下领域
1001A11LCP0000022A23,军品任务属性
1001A11LCP0000022A24,合同产品编号
1001A11LCP0000022A25,合同产品名称
1001A11LCP0000022A26,框架协议
1001A11LCP0000022A27,关联框架协议编号
1001A11LCP0000022A28,是否敞口合同
1001A11LCP0000022A29,是否变更合同
1001A11LCP0000022A2A,原合同编号
1001A11LCP0000022A2B,合同金额
1001A11LCP0000022A2C,合同币种
1001A11LCP0000022A2D,汇率
1001A11LCP0000022A2E,合同标的内容说明
1001A11LCP0000022A2F,价格确定依据
1001A11LCP0000022A2G,合同密级
1001A11LCP0000022A2H,合同状态
1001A11LCP0000022A2I,合同签订日期
1001A11LCP0000022A2J,合同生效日期
1001A11LCP0000022A2K,合同结束日期
1001A11LCP0000022A2L,合同提交审批日期
1001A11LCP0000022A2M,合同审批通过日期
1001A11LCP0000022A2N,合同办结时间
1001A11LCP0000022A2O,数据有效性
1001A11LCP0000022A2P,时间戳
1001A11LCP0000022A2Q,自定义项1
1001A11LCP0000022A2R,自定义项2
1001A11LCP0000022A2S,自定义项3
1001A11LCP0000022A2T,自定义项4
1001A11LCP0000022A2U,自定义项5
1001A11LCP0000022A2V,自定义项6
1001A11LCP0000022A2W,自定义项7
1001A11LCP0000022A2X,自定义项8
1001A11LCP0000022A2Y,自定义项9
1001A11LCP0000022A2Z,自定义项10
1001A11LCP0000022A30,自定义项11
1001A11LCP0000022A31,自定义项12
1001A11LCP0000022A32,自定义项13
1001A11LCP0000022A33,自定义项14
1001A11LCP0000022A34,自定义项15
1001A11LCP0000022A35,自定义项16
1001A11LCP0000022A36,自定义项17
1001A11LCP0000022A37,自定义项18
1001A11LCP0000022A38,自定义项19
1001A11LCP0000022A39,自定义项20
1001A11LCP0000022A3A,自定义项21
1001A11LCP0000022A3B,自定义项22
1001A11LCP0000022A3C,自定义项23
1001A11LCP0000022A3D,自定义项24
1001A11LCP0000022A3E,自定义项25
1001A11LCP0000022A3F,自定义项26
1001A11LCP0000022A3G,自定义项27
1001A11LCP0000022A3H,自定义项28
1001A11LCP0000022A3I,自定义项29
1001A11LCP0000022A3J,自定义项30
1001A11LCP0000022A3K,单据类型
1001A11LCP0000022A3L,交易类型pk
1001A11LCP0000022A3M,交易类型
1001A11LCP0000022A3N,审批状态
1001A11LCP0000022A3O,审批人
1001A11LCP0000022A3P,审批时间
1001A11LCP0000022A3Q,审批批语
1001A11LCP0000022A3R,主键
1001A11LCP0000022A3S,制单人
1001A11LCP0000022A3T,单据版本pk
1001A11LCP0000022A3U,制单时间
1001A11LCP0000022A3V,最后修改时间
1001A11LCP0000022A3W,组织多版本
1001A11LCP0000022A3X,修订枚举
1001A11LCP0000022A3Y,创建人
1001A11LCP0000022A3Z,创建时间
1001A11LCP0000022A40,最后修改人
1001A11LCP0000022A41,修改时间
1001A11LCP0000022A4Q,行号
1001A11LCP0000022A4R,主键
1001A11LCP0000022A4S,集团合同编码
1001A11LCP0000022A4T,合同编码
1001A11LCP0000022A4U,所属单位编码
1001A11LCP0000022A4V,相对方编码
1001A11LCP0000022A4W,相对方名称
1001A11LCP0000022A4X,对方主体地位
1001A11LCP0000022A4Y,我方主体地位
1001A11LCP0000022A4Z,相对方类别代码
1001A11LCP0000022A50,相对方隶属单位代码
1001A11LCP0000022A51,相对方国别
1001A11LCP0000022A52,相对方通讯地址
1001A11LCP0000022A53,对方纳税人识别号
1001A11LCP0000022A54,对方开户行名称
1001A11LCP0000022A55,对方开户行账号
1001A11LCP0000022A56,我方开户行名称
1001A11LCP0000022A57,我方开户银行账号
1001A11LCP0000022A58,数据有效性
1001A11LCP0000022A59,自定义项2
1001A11LCP0000022A5A,自定义项3
1001A11LCP0000022A5B,自定义项4
1001A11LCP0000022A5C,自定义项5
1001A11LCP0000022A5D,自定义项6
1001A11LCP0000022A5E,自定义项7
1001A11LCP0000022A5F,自定义项8
1001A11LCP0000022A5G,自定义项9
1001A11LCP0000022A5H,自定义项10
1001A11LCP0000022A5I,自定义项11
1001A11LCP0000022A5J,自定义项12
1001A11LCP0000022A5K,自定义项13
1001A11LCP0000022A5L,自定义项14
1001A11LCP0000022A5M,自定义项15
1001A11LCP0000022A5N,自定义项16
1001A11LCP0000022A5O,自定义项17
1001A11LCP0000022A5P,自定义项18
1001A11LCP0000022A5Q,自定义项19
1001A11LCP0000022A5R,自定义项20
1001A11LCP0000022A5S,来源行号
1001A11LCP0000022A5T,行号
1001A11LCP0000022A5U,主键
1001A11LCP0000022A5V,集团合同编码
1001A11LCP0000022A5W,合同编码
1001A11LCP0000022A5X,所属单位编码
1001A11LCP0000022A5Y,相对方编码
