PUB_QUERY_PROPERTY
pk_query_property,label
1001A11LCP00000222CQ,pk_org
1001A11LCP00000222CR,code
1001A11LCP00000222CS,制单人
1001A11LCP00000222CT,审批状态
1001A11LCP00000222CU,交易类型pk
1001A11LCP00000222CV,pk_group
1001A11LCP00000222CW,组织多版本
1001A11LCP00000222CX,制单时间
1001A11LCP00000222CY,最后修改时间
1001A11LCP00000222CZ,创建人
1001A11LCP00000222D0,创建时间
1001A11LCP00000222D1,最后修改人
1001A11LCP00000222D2,修改时间
1001A11LCP00000222D3,合同编码
1001A11LCP00000222D4,合同名称
1001A11LCP00000222D5,所属单位编码
1001A11LCP00000222D6,所属单位名称
1001A11LCP00000222D7,所属二级单位编码
1001A11LCP00000222D8,所属二级单位名称
1001A11LCP00000222D9,签署人姓名
1001A11LCP00000222DA,收支方向
1001A11LCP00000222DB,合同二级类别
1001A11LCP00000222DC,合同范本属性
1001A11LCP00000222DD,范本编号
1001A11LCP00000222DE,合同实际类别
1001A11LCP00000222DF,合同级别
1001A11LCP00000222DG,合同所属产业板块
1001A11LCP00000222DH,所属产业板块下领域
1001A11LCP00000222DI,军品任务属性
1001A11LCP00000222DJ,合同产品编号
1001A11LCP00000222DK,合同产品名称
1001A11LCP00000222DL,框架协议
1001A11LCP00000222DM,关联框架协议编号
1001A11LCP00000222DN,是否敞口合同
1001A11LCP00000222DO,是否变更合同
1001A11LCP00000222DP,原合同编号
1001A11LCP00000222DQ,合同金额
1001A11LCP00000222DR,合同币种
1001A11LCP00000222DS,汇率
1001A11LCP00000222DT,合同标的内容说明
1001A11LCP00000222DU,价格确定依据
1001A11LCP00000222DV,合同密级
1001A11LCP00000222DW,合同状态
1001A11LCP00000222DX,合同签订日期
1001A11LCP00000222DY,合同生效日期
1001A11LCP00000222DZ,合同结束日期
1001A11LCP00000222E0,合同提交审批日期
1001A11LCP00000222E1,合同审批通过日期
1001A11LCP00000222E2,合同办结时间
1001A11LCP00000222E3,数据有效性
1001A11LCP00000222E4,时间戳
1001A11LCP00000222E5,自定义项1
1001A11LCP00000222E6,自定义项2
1001A11LCP00000222E7,自定义项3
1001A11LCP00000222E8,自定义项4
1001A11LCP00000222E9,自定义项5
1001A11LCP00000222EA,自定义项6
1001A11LCP00000222EB,自定义项7
1001A11LCP00000222EC,自定义项8
1001A11LCP00000222ED,自定义项9
1001A11LCP00000222EE,自定义项10
1001A11LCP00000222EF,自定义项11
1001A11LCP00000222EG,自定义项12
1001A11LCP00000222EH,自定义项13
1001A11LCP00000222EI,自定义项14
1001A11LCP00000222EJ,自定义项15
1001A11LCP00000222EK,自定义项16
1001A11LCP00000222EL,自定义项17
1001A11LCP00000222EM,自定义项18
1001A11LCP00000222EN,自定义项19
1001A11LCP00000222EO,自定义项20
1001A11LCP00000222EP,自定义项21
1001A11LCP00000222EQ,自定义项22
1001A11LCP00000222ER,自定义项23
1001A11LCP00000222ES,自定义项24
1001A11LCP00000222ET,自定义项25
1001A11LCP00000222EU,自定义项26
1001A11LCP00000222EV,自定义项27
1001A11LCP00000222EW,自定义项28
1001A11LCP00000222EX,自定义项29
1001A11LCP00000222EY,自定义项30
1001A11LCP00000222EZ,单据版本pk
1001A11LCP00000222F0,单据类型
1001A11LCP00000222F1,交易类型
1001A11LCP00000222F2,审批批语
1001A11LCP00000222F3,审批人
1001A11LCP00000222F4,审批时间
1001A11LCP00000222F5,修订枚举
